Trimestre;gmp_Hombres;gmp_Mujeres;gasto_total_Hombres;gasto_total_Mujeres;excursiones_Hombres;excursiones_Mujeres;Viajeros_edad_15-19;Duración media viaje_edad_15-19;Viajeros_edad_20-24;Duración media de los viajeros_20-24;Viajeros_edad_25-29;Duración media de los viajeros_25-29;Viajeros_edad_30-34;Duración media de los viajeros_30-34;Viajeros_edad_35-39;Duración media de los viajeros_35-39;Viajeeos_edad_40-44;Duración media de los viajeros_40-44;Viajeros_edad_45-49;Duración media de los viajeros_45-49;Viajeros_edad_50-54;Duración media de los viajeros_50-54;Viajeros_edad_55-59;Duración media de los viajeros_55-59;Viajeros_edad_60-64;Duración media de los viajeros_60-64;Viajeros_edad_65-69;Duración media de los viajeros_65-69;Viajeros_edad_70-74;Duración media de los viajeros_70-74;Viajeros_edad_75-79;Duración media de los viajeros_75-79;Viajeros_edad_80-84;Duración media de los viajeros_80-84;Viajeros_edad_85_mas;Duración media de los viajeros_85_mas;Educación primaria o inferior;Educación secundaria primera etapa;Educación secundaria segunda etapa;Educación superior;Educación Desconocido;Duración media de los viajeros_Residentes Rioja;Duración media de los viajeros_ Resto de CCAA;Duración media de los viajeros_Hombres;Duración media de los viajeros_Mujeres
2024T02;42,43;45,57;6028300,46;4592487,82;142069,00;100769,00;;;9660,00;2,00;10978,00;2,11;19204,00;4,21;14626,00;3,39;52116,00;1,75;67046,00;2,49;49559,00;2,88;40968,00;2,30;22515,00;1,66;14064,00;2,90;12564,00;1,27;298,00;20,00;5340,00;2,95;1366,00;2,00;17964,00;67893,00;38878,00;195569,00;;1,70;2,61;2,19;2,79
2024T01;46,02;45,26;9185995,83;8057724,72;199618,00;178038,00;19445,00;2,00;22734,00;2,50;22567,00;2,71;32617,00;4,48;33525,00;6,13;44704,00;2,17;33339,00;1,83;23885,00;2,31;26942,00;1,94;29081,00;1,90;20307,00;2,26;17421,00;2,96;653,00;2,00;304,00;1,00;1674,00;7,22;39364,00;127141,00;39074,00;123623,00;;2,07;3,05;2,90;2,80
2023T04;48,55;43,92;7324782,37;5545583,09;150880,00;126279,00;1360,00;1,00;5628,00;2,32;781,00;2,00;52665,00;3,32;9066,00;1,80;23887,00;2,81;50979,00;4,16;29304,00;3,53;55948,00;2,50;43978,00;3,11;30757,00;3,09;26831,00;2,24;6030,00;15,49;2341,00;1,99;206,00;2,00;57961,00;97539,00;51611,00;131029,00;1623,00;2,37;3,45;3,03;3,79
2023T03;46,43;42,42;7886218,99;5475260,38;169853,00;129084,00;3553,00;4,16;18735,00;5,55;7155,00;4,60;25026,00;2,75;16073,00;2,51;99809,00;3,17;59463,00;4,84;42272,00;5,04;53943,00;4,06;79206,00;3,67;38065,00;3,89;37943,00;9,34;1780,00;6,45;1773,00;16,15;2881,00;9,90;108943,00;80759,00;94768,00;201308,00;1899,00;4,33;4,45;4,82;3,97
2023T02;48,25;41,11;6756945,76;5624996,19;140047,00;136826,00;2237,00;3,00;7951,00;2,00;6061,00;5,00;8080,00;1,74;58748,00;3,58;55266,00;1,79;42034,00;1,89;19370,00;1,91;10676,00;3,95;84768,00;2,04;30026,00;7,60;11077,00;2,71;4954,00;4,89;7094,00;5,11;374,00;1,00;9243,00;53007,00;62792,00;223674,00;;1,97;3,16;3,71;2,34
2023T01;42,36;40,94;5746421,94;7131552,31;135671,00;174212,00;;;6180,00;2,00;7107,00;3,75;20351,00;1,64;22480,00;1,59;53402,00;1,80;31952,00;1,91;16945,00;2,01;32442,00;3,45;14678,00;1,83;6029,00;5,32;13554,00;6,94;5751,00;3,31;3537,00;3,25;;;18130,00;22413,00;61610,00;132254,00;;2,04;2,67;2,26;2,85
2022T04;42,38;40,65;6409022,93;8155439,98;151229,00;200617,00;2260,00;1,00;;;23306,00;1,71;15229,00;3,67;42330,00;1,67;95449,00;2,29;12495,00;2,23;26379,00;3,36;48119,00;3,01;50603,00;2,93;22729,00;3,76;4934,00;7,82;3335,00;5,51;770,00;23,00;260,00;2,00;64457,00;56248,00;77886,00;149607,00;;1,85;2,98;2,68;2,86
2022T03;40,02;47,28;5462627,92;8225101,92;136495,00;173956,00;38763,00;14,26;29778,00;1,17;6355,00;1,15;61149,00;5,43;13557,00;3,06;34886,00;6,58;87855,00;5,71;10895,00;7,05;44594,00;3,77;19692,00;11,14;51654,00;4,53;13749,00;8,20;5955,00;2,92;1202,00;23,97;426,00;2,00;85478,00;116029,00;80897,00;138106,00;;6,47;5,98;6,44;5,81
2022T02;42,39;35,29;11671399,06;5893967,02;275324,00;167039,00;2109,00;2,94;;;23208,00;2,75;22147,00;1,78;43301,00;2,39;40183,00;2,64;43541,00;1,56;20634,00;2,23;42840,00;2,43;38737,00;3,70;32470,00;2,10;8876,00;5,10;28098,00;2,22;3998,00;2,94;2719,00;3,27;82403,00;73660,00;42947,00;153851,00;;2,36;2,54;2,74;2,28
2022T01;43,36;34,48;8608017,14;5934294,11;198516,00;172107,00;2338,00;1,00;;;11067,00;2,65;30925,00;1,89;27538,00;5,18;36884,00;1,83;17514,00;1,90;9584,00;2,77;34144,00;2,43;21844,00;3,06;13701,00;2,85;6761,00;2,26;14862,00;1,82;4436,00;2,34;;;57191,00;35853,00;22655,00;115900,00;;2,91;2,36;2,73;2,47
2021T04;40,93;36,93;10238977,37;8948396,04;250181,00;242309,00;930,00;2,00;3494,00;2,00;3581,00;2,80;4794,00;5,22;15951,00;3,07;65188,00;2,22;40439,00;1,92;14435,00;2,18;44063,00;2,48;35858,00;3,10;50597,00;2,23;13770,00;2,95;6644,00;10,03;1809,00;17,74;6682,00;4,00;70776,00;67569,00;54483,00;115408,00;;3,50;2,55;2,72;2,77
2021T03;35,77;41,93;4881466,18;9293575,74;136464,00;221626,00;25857,00;3,57;13884,00;1,26;18633,00;3,16;19436,00;2,03;38323,00;4,53;50730,00;7,85;52001,00;5,74;67308,00;4,11;54956,00;3,50;44099,00;4,21;29143,00;9,21;15849,00;5,61;5635,00;6,92;1987,00;97,00;6320,00;13,84;99921,00;102946,00;89723,00;151429,00;143,00;3,03;5,99;4,58;6,69
2021T02;35,52;35,50;10099862,53;6547520,53;284346,00;184431,00;6196,00;2,30;10744,00;1,00;6070,00;1,13;15664,00;1,69;39746,00;2,06;23258,00;1,76;23629,00;1,76;17973,00;1,88;68963,00;1,57;15719,00;3,36;26621,00;2,13;8576,00;3,22;7692,00;3,14;1038,00;13,25;;;73739,00;59784,00;27987,00;110204,00;175,00;1,81;2,07;1,76;2,30
2021T01;34,32;36,32;4510653,19;4777267,97;131418,00;131537,00;2078,00;3,16;5866,00;1,77;2127,00;1,00;9857,00;1,85;7221,00;3,41;6418,00;1,63;3332,00;4,08;3748,00;1,78;6320,00;1,85;2834,00;1,84;6688,00;1,81;2828,00;5,81;5373,00;1,18;;;;;31818,00;10629,00;6754,00;15489,00;;2,13;2,44;2,21;2,26
2020T04;36,75;27,91;5823136,47;3878447,06;158447,00;138960,00;577,00;2,00;12623,00;1,31;8224,00;6,59;8466,00;1,61;12901,00;1,12;9095,00;3,71;15143,00;1,10;4868,00;1,71;9624,00;1,49;2051,00;2,53;7252,00;6,64;744,00;2,55;6773,00;1,37;3575,00;38,05;183,00;4,00;22330,00;31848,00;9913,00;38006,00;;2,95;3,97;3,10;4,26
2020T03;32,04;30,37;8135720,03;6909850,95;253927,00;227520,00;13302,00;9,76;15153,00;2,32;13764,00;3,24;41530,00;3,10;17341,00;8,53;36987,00;5,42;44514,00;8,06;47331,00;4,51;51931,00;3,34;14542,00;5,76;30998,00;9,53;19758,00;12,24;3777,00;20,44;;;314,00;104,00;81982,00;54319,00;92622,00;122318,00;;6,41;6,09;5,56;6,60
2020T02;37,64;32,66;5254454,78;3620591,92;139607,00;110841,00;3042,00;1,18;15959,00;1,79;4141,00;2,00;1631,00;2,00;3644,00;2,00;11186,00;2,30;1633,00;1,50;22347,00;1,70;7618,00;2,38;2708,00;3,84;320,00;1,00;1346,00;2,00;478,00;2,00;;;;;34331,00;5226,00;4586,00;31911,00;;1,98;1,96;1,70;2,26
2020T01;35,75;34,19;6921939,08;5023949,80;193600,00;146935,00;8208,00;2,09;44491,00;1,92;10847,00;1,43;24966,00;1,70;26609,00;2,02;34285,00;2,57;6485,00;2,94;26542,00;1,68;27775,00;1,45;7503,00;1,96;7302,00;3,64;1733,00;1,83;3209,00;2,47;;;11438,00;7,82;90385,00;39576,00;19302,00;87742,00;4387,00;1,57;2,44;2,06;2,67
2019T04;52,28;40,98;11833585,60;8154442,77;226334,00;198978,00;10346,00;1,68;51183,00;1,78;21281,00;2,10;22059,00;3,44;30061,00;2,26;20839,00;1,95;17970,00;2,12;27656,00;1,55;25289,00;1,68;13627,00;1,99;12862,00;5,10;19282,00;3,40;8853,00;7,27;5991,00;2,98;;;84285,00;70771,00;28403,00;103841,00;;2,65;2,38;1,99;2,95
2019T03;35,86;35,82;8523884,77;5432016,23;237697,00;151649,00;17235,00;4,37;26247,00;2,51;5710,00;1,53;45021,00;1,86;29118,00;2,89;44784,00;2,67;39418,00;3,52;80343,00;2,41;38241,00;7,49;25679,00;4,74;27426,00;19,91;17048,00;6,75;;;10359,00;34,72;3004,00;1,68;103929,00;80681,00;58344,00;161797,00;4882,00;3,85;5,72;4,47;6,17
2019T02;37,23;39,00;6841164,37;8002512,01;183777,00;205178,00;26895,00;3,36;6957,00;2,48;28119,00;1,66;31013,00;1,96;50740,00;2,59;48316,00;2,04;41565,00;2,74;56247,00;2,31;20843,00;1,71;14468,00;3,32;31937,00;3,69;20239,00;4,75;11281,00;5,07;7329,00;2,26;1278,00;1,00;131348,00;56719,00;53865,00;148664,00;6632,00;2,40;2,75;2,98;2,35
2019T01;36,76;36,54;7427372,72;4564629,04;202042,00;124926,00;15483,00;1,00;34350,00;1,79;47036,00;2,48;19320,00;1,64;29608,00;1,89;21861,00;2,10;23364,00;2,65;41384,00;1,78;37893,00;2,45;10545,00;1,78;9774,00;2,53;6588,00;2,19;5592,00;5,43;2485,00;5,69;429,00;2,00;70707,00;70107,00;50884,00;106013,00;8003,00;1,92;2,22;2,26;2,01
2018T04;38,43;38,00;8855107,63;6892562,76;230404,00;181363,00;7494,00;2,53;5888,00;1,43;13039,00;1,62;39437,00;6,51;9929,00;2,13;49056,00;1,97;33101,00;2,00;31369,00;1,51;76941,00;2,72;15140,00;4,26;8569,00;3,56;20020,00;2,53;8325,00;2,22;8003,00;2,15;;;81453,00;87378,00;28011,00;129037,00;432,00;2,42;2,98;2,12;3,50
2018T03;34,42;36,14;7847796,43;7041814,82;228015,00;194855,00;18940,00;14,41;12177,00;2,06;34017,00;3,42;45472,00;1,88;11142,00;4,31;41229,00;3,63;66736,00;4,26;68005,00;2,66;47786,00;3,15;37794,00;2,92;22101,00;10,43;7179,00;8,46;11913,00;27,50;11029,00;18,62;;;108299,00;97120,00;72239,00;153842,00;4021,00;3,41;5,79;3,25;7,36
2018T02;42,91;35,35;10195900,99;7434089,40;237594,00;210309,00;29481,00;2,06;15281,00;2,71;1677,00;1,00;21281,00;1,88;19307,00;3,87;27464,00;2,92;88202,00;1,90;41855,00;1,87;47677,00;2,40;16164,00;2,28;15333,00;2,44;30808,00;4,63;2364,00;4,96;;;2963,00;1,44;96141,00;95351,00;59051,00;93660,00;15654,00;1,85;2,73;2,39;2,59
2018T01;39,46;40,15;10262353,97;5577103,43;260059,00;138907,00;4079,00;2,80;4432,00;2,00;37248,00;2,24;20729,00;2,01;9471,00;1,81;39072,00;2,12;26885,00;1,76;18341,00;2,75;33446,00;2,39;9902,00;1,79;15325,00;2,86;13182,00;3,06;2068,00;6,48;3518,00;2,76;2326,00;5,30;63760,00;52633,00;33996,00;89635,00;;1,82;2,58;2,32;2,35
2017T04;39,87;37,10;10369757,73;7867710,12;260114,00;212078,00;1050,00;1,00;4563,00;2,00;104120,00;2,30;27232,00;4,50;24081,00;2,10;22683,00;1,92;47384,00;2,10;52401,00;3,02;26925,00;3,30;26567,00;4,49;6351,00;1,61;8798,00;1,86;4138,00;1,21;3694,00;2,00;170,00;2,00;89828,00;40104,00;126097,00;103708,00;419,00;2,31;2,80;2,54;2,79
2017T03;37,35;34,51;11650883,15;7297738,75;311907,00;211478,00;24728,00;12,89;36496,00;4,34;23375,00;1,78;78514,00;2,72;24347,00;3,70;26853,00;4,87;53518,00;3,61;38699,00;2,58;43166,00;3,57;87745,00;4,07;23164,00;12,95;5377,00;1,21;7877,00;15,27;412,00;2,00;1109,00;18,30;178790,00;96745,00;68435,00;125170,00;6237,00;2,89;5,24;3,77;5,50
2017T02;41,03;34,62;11690652,90;6033014,36;284903,00;174246,00;28004,00;1,69;14170,00;2,23;16407,00;2,76;41242,00;3,22;27230,00;2,39;39365,00;2,47;50708,00;2,21;22062,00;2,36;50112,00;2,67;39431,00;2,12;21115,00;3,29;16477,00;1,97;6621,00;2,28;1111,00;3,58;2133,00;2,90;98406,00;77598,00;71308,00;127910,00;966,00;1,67;2,87;2,23;2,79
2017T01;36,38;40,01;9856484,64;9018912,99;270935,00;225391,00;3302,00;1,00;17131,00;1,63;22354,00;1,86;24462,00;2,01;11872,00;2,25;23056,00;2,16;20730,00;1,99;30384,00;2,38;45784,00;1,89;12005,00;1,94;13497,00;1,97;9784,00;4,04;1363,00;3,00;2908,00;1,22;646,00;6,95;63804,00;38314,00;34881,00;102279,00;;1,85;2,22;1,77;2,32
2016T04;36,92;35,52;9732421,96;5672491,76;263602,00;159680,00;1330,00;2,00;5027,00;1,00;15707,00;2,08;28651,00;3,15;29740,00;3,15;41090,00;2,37;27841,00;3,07;32583,00;1,92;30581,00;1,64;35123,00;3,06;18970,00;2,59;6023,00;7,69;12996,00;3,10;;;159,00;2,00;101795,00;35272,00;18306,00;125046,00;5400,00;2,02;2,98;2,81;2,50
2016T03;39,15;31,03;10081929,43;4741527,58;257544,00;152805,00;739,00;38,00;50202,00;4,42;19781,00;2,58;21659,00;2,20;36873,00;3,38;37550,00;6,39;33799,00;4,98;40830,00;4,37;30595,00;4,77;38624,00;5,29;14662,00;3,26;15948,00;11,75;9351,00;10,19;1290,00;2,86;853,00;39,44;54077,00;87952,00;51715,00;158375,00;637,00;5,05;5,04;5,22;4,94
2016T02;35,41;36,82;8049543,98;7284351,91;227302,00;197832,00;1501,00;1,82;13838,00;1,92;16001,00;2,43;20386,00;2,19;18852,00;1,82;35065,00;1,77;21689,00;2,30;26166,00;1,77;18226,00;2,22;41963,00;3,96;21378,00;3,03;61642,00;2,31;3820,00;1,45;2837,00;1,55;5860,00;5,86;113755,00;57613,00;28474,00;104849,00;4531,00;2,02;2,66;2,26;2,67
2016T01;36,04;34,90;9152616,48;6118491,85;253939,00;175309,00;11725,00;2,24;7637,00;1,69;13918,00;2,02;39283,00;2,82;18543,00;2,79;33697,00;2,46;31845,00;3,08;16663,00;3,63;32465,00;1,89;45885,00;2,22;21609,00;3,26;11818,00;2,61;5622,00;1,49;4046,00;7,38;;;73296,00;64291,00;37994,00;118442,00;733,00;2,37;2,70;2,47;2,79