Restaurant/Tapas Bar,Rating,Number of Reviews,Cuisine Type,Price Range,Tripadvisor Ranking,Location
Pan y vino,4.0,172,"Mediterránea, Europea",€€ - €€€,42.0,Logroño
Meson Antonio,4.0,69,"Restaurante de carne, Mediterránea",€,43.0,Logroño
La Taberna de Baco,4.5,248,Española,€€ - €€€,44.0,Logroño
Letras de Laurel,4.5,863,"Bar, Mediterránea",€€ - €€€,45.0,Logroño
Aitor Esnal Restaurante,4.5,78,"Mediterránea, Europea",€€€€,46.0,Logroño
El Patio De Marce,5.0,12,"Internacional, Europea",€€€€,47.0,Logroño
La Pizza Boluda,4.5,47,"Latina, Comida rápida",€,48.0,Logroño
Restaurante Delicatto,4.5,120,"Italiana, Pizza",€€€€,49.0,Logroño
Carbonera Taberna,4.0,75,"Mediterránea, Española",€€ - €€€,50.0,Logroño
La Despensa Del Marques,4.5,289,"Mediterránea, Española",€€ - €€€,51.0,Logroño
Moderna Tradición,4.5,284,"Marisco, Mediterránea",€€ - €€€,52.0,Logroño
Ebisu Tradicional Bar-Restaurante,4.0,79,"Mediterránea, Europea",€,53.0,Logroño
Aromas Y Semillas,4.0,93,"Mediterránea, Española",€,54.0,Logroño
En las Nubes Restobar,3.5,166,"Café, Española",€€ - €€€,55.0,Logroño
Cafeteria-Restaurante Claret,5.0,75,"Americana, Alemana",€,56.0,Logroño
Bistro Mr Griego,4.0,19,"Bar, Mediterránea",€€ - €€€,57.0,Logroño
Restaurante La Chula,4.0,362,"Mediterránea, Europea",€€ - €€€,58.0,Logroño
Cristal Cafeteria Restaurante,4.5,52,"Mediterránea, Europea",€€ - €€€,59.0,Logroño
Miyako,4.0,95,Española,€€ - €€€,60.0,Logroño
La Tavina,4.0,665,Restaurantes en Logroño,€€ - €€€,,Logroño
Tolmay,3.5,84,"Mediterránea, Española",€€ - €€€,151.0,Logroño
La Rosaleda 1946,3.5,26,"Mediterránea, Española",€€ - €€€,152.0,Logroño
A Tu Gusto Logrono,4.0,105,"Mediterránea, Europea",€€ - €€€,153.0,Logroño
Ribera,4.5,103,"Bares y pubs, Bar",€€ - €€€,154.0,Logroño
Asador El Muro,3.5,177,"Bar, Española",€€ - €€€,155.0,Logroño
Canela,3.5,63,"Restaurante de carne, Mediterránea",€€ - €€€,156.0,Logroño
Bar Sebas,4.0,165,"Mediterránea, Española",€,157.0,Logroño
La Bodeguilla Gutierrez,4.0,14,Española,€,158.0,Logroño
Bococa,3.5,199,"Bar, Española",€€ - €€€,159.0,Logroño
Meson Restaurante El Charro,3.5,16,"Americana, Bar",€,160.0,Logroño
La Casita Mesón-Bar,4.0,81,"Restaurante de carne, Española",€€ - €€€,161.0,Logroño
Trattoria Pizza Pasta E Basta S.coop.,3.5,121,"Bar, Mediterránea",€€ - €€€,162.0,Logroño
Juanlobo,3.5,82,"Italiana, Mediterránea",€€ - €€€,163.0,Logroño
Restaurante Malvasía,4.0,21,"Bar, Mediterránea",€€ - €€€,164.0,Logroño
Barriobar,4.5,25,"Mediterránea, Española",€,165.0,Logroño
Timber Café,4.0,9,Española,€€€€,166.0,Logroño
La Pepita Burger Bar - Logroño,3.5,88,"Bares y pubs, Bar",€€ - €€€,167.0,Logroño
Mesón Jabugo San Agustín,4.0,43,Americana,€€ - €€€,168.0,Logroño
Cafe Cervantes,4.5,33,"Bares y pubs, Mediterránea",€,169.0,Logroño
Berty´s Burger Logroño,4.5,15,"Bar, Café",€€ - €€€,170.0,Logroño
Restaurante Tívoli,3.5,96,"Mediterránea, Española",€€ - €€€,171.0,Logroño
Tal Cual,3.0,82,"Mediterránea, Española",€,172.0,Logroño
Bad Food Bar,4.5,108,Americana,€,173.0,Logroño
Sport Tavern,3.5,45,"Comida rápida, Española",€€ - €€€,174.0,Logroño
Restaurante Casa Victor,3.0,72,"Bar, Café",€,175.0,Logroño
Divina Croqueta,4.5,27,"Bares y pubs, Española",€,176.0,Logroño
Tenessis,4.5,41,"Mediterránea, Española",€,177.0,Logroño
La Cantina,4.5,14,Española,€€ - €€€,178.0,Logroño
Restaurante Japones Yoshi,4.0,22,"Japonesa, Sushi",€€ - €€€,179.0,Logroño
Vinissimo,4.5,57,"Española, Vinoteca",,180.0,Logroño
La Tavina,4.0,665,Restaurantes en Logroño,€€ - €€€,,Logroño
Restaurante Sojuela,4.0,23,"Mediterránea, Española",€€ - €€€,181.0,Logroño
El canalla,4.0,127,"Mediterránea, Española",€€ - €€€,182.0,Logroño
Don Sancho,4.5,6,"Bares y pubs, Bar",€€ - €€€,183.0,Logroño
El Palio,4.0,5,,€€ - €€€,184.0,Logroño
Restaurante/Cafeteria Sol Nordico,4.0,5,Española,€€ - €€€,185.0,Logroño
Atiborre,3.5,15,,€€ - €€€,186.0,Logroño
MaryViña,4.0,16,"China, Japonesa",€,187.0,Logroño
Cerveceria Marisqueria Alina's,3.5,29,"Internacional, Mediterránea",€€ - €€€,188.0,Logroño
Bar Páganos,4.0,157,"Mediterránea, Española",€€ - €€€,189.0,Logroño
Casablanca Café Pub,4.0,9,"Marisco, Española",€,190.0,Logroño
Terra Nostra II,4.0,32,"Bares y pubs, Española",€€ - €€€,191.0,Logroño
Ramen Shifu,4.5,3,Española,€€ - €€€,192.0,Logroño
EL Mirador,3.5,39,"Italiana, Pizza",€€ - €€€,193.0,Logroño
Malabar,3.5,62,Japonesa,€,194.0,Logroño
Calenda,2.5,88,,€€ - €€€,195.0,Logroño
Chic Chic Chicken,4.0,53,Española,€,196.0,Logroño
Restaurante Serenella,3.5,53,"Mediterránea, Española",€€ - €€€,197.0,Logroño
Urcey Cafeteria Restaurante,4.0,21,"Café, Mediterránea",€€ - €€€,198.0,Logroño
Los Rotos San Juan,3.0,55,"Española, Venezolana",€€ - €€€,199.0,Logroño
Roots,4.0,16,"Bar, Mediterránea",€,200.0,Logroño
Pulpería La Universidad,4.0,192,"Mediterránea, Española",€,201.0,Logroño
Asador Eduardo,4.0,68,"Mediterránea, Española",€,202.0,Logroño
Cervecerías La Mejillonera,3.5,22,"Mediterránea, Española",€,203.0,Logroño
Delizia Obrador Heladero,4.5,11,"Bar, Mediterránea",€,204.0,Logroño
La cueva de Floren,3.5,51,"Restaurante de carne, Española",€€ - €€€,205.0,Logroño
La Guarida Del Carmen,4.5,15,"Mediterránea, Española",€,206.0,Logroño
Porto Vecchio,3.5,94,Española,,207.0,Logroño
Bar Charly,4.0,24,Española,,208.0,Logroño
Café Pub Lorca,5.0,12,"Bar, Española",,209.0,Logroño
Taberna de Correos,3.5,143,"Café, Mediterránea",,210.0,Logroño
La Tavina,4.0,665,Restaurantes en Logroño,€€ - €€€,,Logroño
Bar Robi,4.5,14,"Mediterránea, Española",€,241.0,Logroño
Sultàn's Gemüse Kebab,5.0,5,Española,€,242.0,Logroño
Burgerheim,3.5,18,Turca,€€ - €€€,243.0,Logroño
La Tortilla del Albergue,3.5,34,"Americana, Comida rápida",€,244.0,Logroño
Orpas,4.0,15,Española,€€€€,245.0,Logroño
Sushisom Logroño C.c Parque Rioja,3.0,10,Española,€€ - €€€,246.0,Logroño
Restaurante El Embarcadero,2.0,80,Sushi,€€ - €€€,247.0,Logroño
Cafe ibiza,3.0,52,,€,248.0,Logroño
Restaurante Chino Hong Fa,3.0,7,"Marisco, Mediterránea",€,249.0,Logroño
Florentino Principe de Vergara,4.0,27,"Bar, Café",€€ - €€€,250.0,Logroño
La Isla Café Bar,4.0,5,"China, Asiática",€€ - €€€,251.0,Logroño
El Rincón De Julio,2.5,112,Española,€,252.0,Logroño
La Rua Brewery,3.5,22,Española,€€ - €€€,253.0,Logroño
El Retorno,5.0,5,,€,254.0,Logroño
Restaurantes Piqueras,4.0,7,Española,€,255.0,Logroño
Más que Miga,4.5,6,Comida rápida,€,256.0,Logroño
el Tirador,4.5,11,"Bar, Pub",€,257.0,Logroño
Aqui Me Quedo,4.0,17,,€,258.0,Logroño
Café Kiosco La Fundación,4.0,10,"Bar, Café",€€ - €€€,259.0,Logroño
Sarsof Quick,5.0,3,,€,260.0,Logroño
De Bellota,4.0,39,"Bares y pubs, Española",€,261.0,Logroño
Cervecería St Patrick's (Covent Garden Catedral),3.5,15,,,262.0,Logroño
Mesón Rocío,3.0,18,Española,,263.0,Logroño
Tortilleria La Concordia,5.0,1,Española,,264.0,Logroño
Cyaboga,5.0,7,Americana,,265.0,Logroño
Cafetería Noche y Día,3.0,74,Española,,266.0,Logroño
Cafe Del Mercado,3.0,33,"Americana, Irlandesa",,267.0,Logroño
Entretapas 941,3.5,30,,,268.0,Logroño
Bar La Ruta,4.0,16,Española,,269.0,Logroño
Bowie’s Meal House Logroño,3.0,23,"Bares y pubs, Bar",,270.0,Logroño
La Tavina,4.0,665,Restaurantes en Logroño,€€ - €€€,,Logroño
Bodegón Papeo 2,3.0,14,"Mediterránea, Española",€,271.0,Logroño
Is Ramen,5.0,1,Española,€,272.0,Logroño
La Rúa del Laurel,3.5,13,,€€ - €€€,273.0,Logroño
Beitia Pinchos & Tapas,4.5,13,Japonesa,€€ - €€€,274.0,Logroño
La Pausa,2.0,60,,€€ - €€€,275.0,Logroño
Carneval,3.0,9,Española,€,276.0,Logroño
Tierra Lara,2.5,113,,€€ - €€€,277.0,Logroño
Venue,4.0,21,Bar,€€ - €€€,278.0,Logroño
Chino Casa de la Alegria,3.0,10,Española,€,279.0,Logroño
Cafe Brezo,4.5,5,"Americana, Restaurante de carne",€€ - €€€,280.0,Logroño
Hotel Zenit Logroño,3.0,25,"Pizza, Mediterránea",€,281.0,Logroño
Goiko - Avenida de Portugal 36,3.0,73,Española,€,282.0,Logroño
London Kebab,2.5,17,"Bares y pubs, China",€,283.0,Logroño
La Hipica de Logroño,2.5,20,Española,€,284.0,Logroño
Bar La Gloria,5.0,1,Americana,€€ - €€€,285.0,Logroño
Bowling Rioja,2.5,3,"Turca, Pakistaní",€€ - €€€,286.0,Logroño
La Hez,4.5,20,"Mediterránea, Española",€,287.0,Logroño
Taberna de Portales,2.0,147,"Bares y pubs, Caribeña",€€ - €€€,288.0,Logroño
Karaoke Bámbara,2.5,2,,€€ - €€€,289.0,Logroño
Restaurante Las Vias,0.0,0 opiniones,"Café, Comida rápida",€€ - €€€,290.0,Logroño
Terraza Edelweiss Sl,5.0,1,"Mediterránea, Española",,291.0,Logroño
"Cakao, Canela, Crema",3.0,36,Española,,292.0,Logroño
Paris on Wheels,4.0,14,,,293.0,Logroño
Star Film,4.5,12,Española,,294.0,Logroño
CookInShop,4.0,13,,,295.0,Logroño
Telepizza,2.0,16,,,296.0,Logroño
Cafeteria The Butterfly,3.5,24,"Café, Comedor",,297.0,Logroño
Namaste,2.0,91,Comida rápida,,298.0,Logroño
Café Bar García,4.0,7,Española,,299.0,Logroño
La Frasca,3.5,18,"Pizza, Comida rápida",,300.0,Logroño
La Tavina,4.0,665,Restaurantes en Logroño,€€ - €€€,,Logroño
Lattino,2.5,72,"Mediterránea, Española",€€ - €€€,301.0,Logroño
Bar Perejil,4.0,13,"Italiana, Pizza",€,302.0,Logroño
Café Antiguo,2.0,49,Española,€€ - €€€,303.0,Logroño
Bar La Esquina De San Juan,4.5,3,,€,304.0,Logroño
llaollao,3.5,11,Española,€,305.0,Logroño
Calenda,2.5,213,"Mediterránea, Española",€,306.0,Logroño
Bar La Mengula,3.5,7,Española,€€ - €€€,307.0,Logroño
Impass,3.5,13,"Bares y pubs, Bar",€€ - €€€,308.0,Logroño
Cielito Lindo,2.5,2,,€,309.0,Logroño
Pizzería Carlos Logroño,2.0,17,Mexicana,€€ - €€€,310.0,Logroño
La Tagliatella,3.5,6,,€€ - €€€,311.0,Logroño
Makitake Logroño,0.0,0 opiniones,"Italiana, Pizza",€,312.0,Logroño
Dublin Bar,2.5,58,,,313.0,Logroño
Panaderia Veritas Panis,5.0,1,Italiana,,314.0,Logroño
Cafetería Nebraska,2.5,3,,,315.0,Logroño
Cafetería Restaurante Puente Madre,3.5,9,Japonesa,,316.0,Logroño
Raízes Cafetería Logroño,4.0,1,,,317.0,Logroño
Delicious gastronomia,3.0,3,"Pizza, Comida rápida",,318.0,Logroño
Restaurante Entrepuentes,2.0,73,"Mediterránea, Española",,319.0,Logroño
El Caracol,5.0,1,,,320.0,Logroño
Cafe Hello,5.0,2,,,321.0,Logroño
Don Kebab,3.5,3,Internacional,,322.0,Logroño
Ginos Marques de Murrieta,2.5,118,,,323.0,Logroño
Telepizza,3.0,11,"Japonesa, Marisco",,324.0,Logroño
Bar El Paseo,5.0,1,,,325.0,Logroño
Entrepuentes Restaurante,2.5,208,"Bar, Café",,326.0,Logroño
La Taska de la Tía,4.5,6,,,327.0,Logroño
Cafe Sagasta,3.5,7,De Oriente Medio,,328.0,Logroño
"Cool ""algo Diferente""",5.0,1,,,329.0,Logroño
El Envas,3.5,34,"Italiana, Pizza",,330.0,Logroño
La Tavina,4.0,665,Restaurantes en Logroño,€€ - €€€,,Logroño
La Trattoria Logroño,0.0,0 opiniones,"Mediterránea, Española",€,391.0,Logroño
Bar Pedro Mari,0.0,0 opiniones,Italiana,€€ - €€€,392.0,Logroño
Burger King,2.0,1,,€,393.0,Logroño
Ankara Doner Kebab,0.0,0 opiniones,Bares y pubs,,394.0,Logroño
Caféluz,4.0,1,,,395.0,Logroño
Bar Lobete,0.0,0 opiniones,Americana,,396.0,Logroño
Planeta Eñe Café,1.0,2,,,397.0,Logroño
Nebraska,3.0,2,"Turca, De Oriente Medio",,398.0,Logroño
Burger King,1.0,8,"Sudamericana, Colombiana",,399.0,Logroño
Cafe Restaurante Atalaya,3.0,1,,,400.0,Logroño
Crepecatessen,2.0,1,"Bares y pubs, Bar",,401.0,Logroño
Pizzarock,0.0,0 opiniones,,,402.0,Logroño
El Cafetín,1.5,3,Española,,403.0,Logroño
Bocatas Movie's,0.0,0 opiniones,,,404.0,Logroño
The New Bossanova,0.0,0 opiniones,"Americana, Bar",,405.0,Logroño
La Mayata Restaurante Ecologico,0.0,0 opiniones,,,406.0,Logroño
cafeteria aramis,0.0,0 opiniones,,,407.0,Logroño
Odisea,0.0,0 opiniones,"Mediterránea, Española",,408.0,Logroño
La Becada,0.0,0 opiniones,"Bares y pubs, Bar",,409.0,Logroño
Mahalo Poké,0.0,0 opiniones,,,410.0,Logroño
Cafe-bar Vinuesa,0.0,0 opiniones,Restaurante de carne,,411.0,Logroño
Kresta Street food,0.0,0 opiniones,,,412.0,Logroño
Cervecería Frankfurt,0.0,0 opiniones,Española,,413.0,Logroño
Gure Txoko,0.0,0 opiniones,,,414.0,Logroño
Cafés El Pato,0.0,0 opiniones,"Bares y pubs, Española",,415.0,Logroño
Al Pincho x La Cara,0.0,0 opiniones,,,416.0,Logroño
Casa Luco,0.0,0 opiniones,Española,,417.0,Logroño
Bartorreslaurel,0.0,0 opiniones,,,418.0,Logroño
El Otro Costal,0.0,0 opiniones,Saludable,,419.0,Logroño
Mariscos Vidio Logroño,0.0,0 opiniones,,,420.0,Logroño
La Tavina,4.0,665,Restaurantes en Logroño,€€ - €€€,,Logroño
Cafetería Arraigo,0.0,0 opiniones,"Mediterránea, Española",,421.0,Logroño
La Celosa,0.0,0 opiniones,"Bar, Española",,422.0,Logroño
Vinour,0.0,0 opiniones,,,423.0,Logroño
Nuevo Dominó,0.0,0 opiniones,"Restaurante de carne, Española",,424.0,Logroño
Megami,0.0,0 opiniones,,,425.0,Logroño
Todo Eventos La Rioja,0.0,0 opiniones,"Pub, Pub restaurante",,426.0,Logroño
La Boutique Café-bar,0.0,0 opiniones,,,427.0,Logroño
Cafetería Confitería Moka,0.0,0 opiniones,,,428.0,Logroño
Domino's Pizza Logrono 2,0.0,0 opiniones,Americana,,429.0,Logroño
Restaurante Rua Vieja,0.0,0 opiniones,,,430.0,Logroño
Cafe Bohemia Logroño,0.0,0 opiniones,Tienda gourmet,,431.0,Logroño
Bed's Logroño Clavijo,0.0,0 opiniones,,,432.0,Logroño
Galata,0.0,0 opiniones,,,433.0,Logroño
Bar Gargonich,0.0,0 opiniones,Americana,,434.0,Logroño
Bar Fax,0.0,0 opiniones,,,435.0,Logroño
Hermanas Loro. Alta Cocina A Domicilio,0.0,0 opiniones,,,436.0,Logroño
Cafetería JB,0.0,0 opiniones,,,437.0,Logroño
Burger King España,0.0,0 opiniones,,,438.0,Logroño
Valcuerna Café,0.0,0 opiniones,,,439.0,Logroño
Cafe-bar La Negrita,0.0,0 opiniones,,,440.0,Logroño
Moura Café Bar,0.0,0 opiniones,,,441.0,Logroño
Elena Ioana Termure,0.0,0 opiniones,,,442.0,Logroño
The Temple Bar,0.0,0 opiniones,,,443.0,Logroño
Bar Akela,0.0,0 opiniones,,,444.0,Logroño
Bar Fraggle Rock,0.0,0 opiniones,,,445.0,Logroño
The Club Bar,0.0,0 opiniones,,,446.0,Logroño
Don Caramelo,0.0,0 opiniones,,,447.0,Logroño
Cafe La Alberca,0.0,0 opiniones,,,448.0,Logroño
Bar Donosti,0.0,0 opiniones,,,449.0,Logroño
Cafeteria D2,2.5,5,,,450.0,Logroño
La Tavina,4.0,665,Restaurantes en Logroño,€€ - €€€,,Logroño
Cafetería Monaco,0.0,0 opiniones,"Mediterránea, Española",,481.0,Logroño
Cafe Bar Dominó,0.0,0 opiniones,,,482.0,Logroño
Room Deluxe,0.0,0 opiniones,,,483.0,Logroño
Despensa Del Ebro,0.0,0 opiniones,,,484.0,Logroño
Bar Orly,0.0,0 opiniones,,,485.0,Logroño
The Groove,0.0,0 opiniones,,,486.0,Logroño
Choca3,0.0,0 opiniones,,,487.0,Logroño
Lekker & Lekker,0.0,0 opiniones,,,488.0,Logroño
La Madriguera De Guirimbi,0.0,0 opiniones,,,489.0,Logroño
Mercería Esther,0.0,0 opiniones,,,490.0,Logroño
La Tacita De Té,0.0,0 opiniones,,,491.0,Logroño
Bar Alhama,0.0,0 opiniones,,,492.0,Logroño
Embutidos Olga,0.0,0 opiniones,,,493.0,Logroño
Guirlache,0.0,0 opiniones,,,494.0,Logroño
Hiper Shan 2016 Sl,0.0,0 opiniones,,,495.0,Logroño
Marino Fish&food,0.0,0 opiniones,,,496.0,Logroño
Bar Peyma,0.0,0 opiniones,,,497.0,Logroño
Mcdonald's,0.0,0 opiniones,,,498.0,Logroño
Fröussen,0.0,0 opiniones,,,499.0,Logroño
Baracoa Pub&café,0.0,0 opiniones,,,500.0,Logroño
Bar Alhóndiga,0.0,0 opiniones,,,501.0,Logroño
Türk Kebab,0.0,0 opiniones,,,502.0,Logroño
Cafe Bar Donde Querais,0.0,0 opiniones,,,503.0,Logroño
Bar Restaurante La Cometa,0.0,0 opiniones,,,504.0,Logroño
Café Bar D - 2,0.0,0 opiniones,,,505.0,Logroño
Bar Rockas,0.0,0 opiniones,,,506.0,Logroño
Cafeteria Anype,0.0,0 opiniones,,,507.0,Logroño
Bar Roberto Logroño,0.0,0 opiniones,,,508.0,Logroño
Esperanto,0.0,0 opiniones,,,509.0,Logroño
Panaderia Y Charcuteria Marta,0.0,0 opiniones,,,510.0,Logroño
La Tavina,4.0,665,Restaurantes en Logroño,€€ - €€€,,Logroño
La Golosina,0.0,0 opiniones,"Mediterránea, Española",,511.0,Logroño
Café Lacrem,0.0,0 opiniones,Española,,512.0,Logroño
Tutifruti,0.0,0 opiniones,,,513.0,Logroño
Warhol,0.0,0 opiniones,,,514.0,Logroño
Pub Funky,0.0,0 opiniones,,,515.0,Logroño
La Tahona Riojana,0.0,0 opiniones,,,516.0,Logroño
Morry,0.0,0 opiniones,,,517.0,Logroño
Café Némesis,0.0,0 opiniones,,,518.0,Logroño
Jamones Galilea,0.0,0 opiniones,,,519.0,Logroño
Habaloño S.L.,0.0,0 opiniones,,,520.0,Logroño
Cafe Victory,0.0,0 opiniones,,,521.0,Logroño
Iguazu,0.0,0 opiniones,,,522.0,Logroño
Bar Bahia Blanca,0.0,0 opiniones,,,523.0,Logroño
Blue Note Bar,0.0,0 opiniones,,,524.0,Logroño
Edelweiss Café - Restaurante,0.0,0 opiniones,,,525.0,Logroño
Charcutería Santi Y Maruli,0.0,0 opiniones,,,526.0,Logroño
Bodega Bar Ojeda,0.0,0 opiniones,,,527.0,Logroño
Comestibles Santa Lucía,0.0,0 opiniones,,,528.0,Logroño
Cafetería Villarreal,0.0,0 opiniones,,,529.0,Logroño
Gloria Bendita,0.0,0 opiniones,,,530.0,Logroño
Bierhaus Bar San Adrián,0.0,0 opiniones,,,531.0,Logroño
Horno Del Valle,0.0,0 opiniones,,,532.0,Logroño
Bar Carvi,0.0,0 opiniones,,,533.0,Logroño
Pincho A Pintxo,0.0,0 opiniones,,,534.0,Logroño
Casa Grande Laurel,0.0,0 opiniones,,,535.0,Logroño
Cristhaly,0.0,0 opiniones,,,536.0,Logroño
Panaderia Viena España,0.0,0 opiniones,,,537.0,Logroño
Café Época,0.0,0 opiniones,,,538.0,Logroño
Bar Moreno,0.0,0 opiniones,,,539.0,Logroño
LA PALMERA,0.0,0 opiniones,,,540.0,Logroño
La Tavina,4.0,665,Restaurantes en Logroño,€€ - €€€,,Logroño
Bar Dalas,0.0,0 opiniones,"Mediterránea, Española",,571.0,Logroño
Bar  Mauleon 2,0.0,0 opiniones,,,572.0,Logroño
Badulaque,0.0,0 opiniones,,,573.0,Logroño
Cafetería Nebraska,0.0,0 opiniones,,,574.0,Logroño
Porto Vecchio,0.0,0 opiniones,,,575.0,Logroño
Hierbabuena Herbolario,0.0,0 opiniones,,,576.0,Logroño
Oslo 1,0.0,0 opiniones,,,577.0,Logroño
Bar Liberty,0.0,0 opiniones,,,578.0,Logroño
Codere Colón,0.0,0 opiniones,,,579.0,Logroño
Bar La Estrella,0.0,0 opiniones,,,580.0,Logroño
Bm Supermercados,0.0,0 opiniones,,,581.0,Logroño
Bar La Ensenada S C,0.0,0 opiniones,,,582.0,Logroño
Cafetería Neira,0.0,0 opiniones,,,583.0,Logroño
Cafetería Romo,0.0,0 opiniones,,,584.0,Logroño
Bar Silcar,0.0,0 opiniones,,,585.0,Logroño
Nuevo Bohemios,0.0,0 opiniones,,,586.0,Logroño
Virginia Bar,0.0,0 opiniones,,,587.0,Logroño
Bm Supermercados,0.0,0 opiniones,,,588.0,Logroño
Casa De La Abacería,0.0,0 opiniones,,,589.0,Logroño
Bar San Mateo Café,0.0,0 opiniones,,,590.0,Logroño
Carvi 2020,0.0,0 opiniones,,,591.0,Logroño
Bar T'esperamos,0.0,0 opiniones,,,592.0,Logroño
Frutas Diego,0.0,0 opiniones,,,593.0,Logroño
Nashville Town Bar,0.0,0 opiniones,,,594.0,Logroño
Bar El Comienzo,0.0,0 opiniones,,,595.0,Logroño
Bar Mirvi,0.0,0 opiniones,,,596.0,Logroño
Bacalaos Alejandra,0.0,0 opiniones,,,597.0,Logroño
