2024M09;LA RIOJA;Calahorra;Ezcaray;Logroño;Haro;Santo Domingo de la Calzada
2024M08;85,83;77,78;..;87,81;91,50;93,46
2024M07;79,98;78,52;..;77,41;83,95;91,82
2024M06;76,99;76,14;..;75,08;79,63;..
2024M05;77,84;79,72;..;81,11;80,01;..
2024M04;78,62;73,46;..;80,35;76,29;87,76
2024M03;74,30;72,41;..;74,90;76,15;..
2024M02;78,31;77,10;..;79,66;80,08;94,51
2024M01;69,37;..;..;68,26;72,35;..
2023M12;64,81;70,31;..;63,09;81,52;..
2023M11;74,63;73,36;..;73,95;..;..
2023M10;73,70;71,56;..;74,83;..;..
2023M09;82,77;76,54;..;83,75;85,69;..
2023M08;87,20;75,53;..;86,17;81,23;..
2023M07;77,48;81,83;..;74,72;88,40;..
2023M06;78,16;77,55;..;75,74;79,76;..
2023M05;77,77;75,67;..;73,47;76,93;..
2023M04;80,53;72,58;..;75,85;74,73;..
2023M03;76,77;73,40;..;75,58;78,85;..
2023M02;66,09;..;..;66,68;70,08;..
2023M01;64,47;..;..;62,43;61,93;..
2022M12;62,12;..;..;59,39;..;..
2022M11;75,49;..;..;67,53;..;89,27
2022M10;70,78;..;..;67,45;71,20;..
2022M09;77,75;..;..;75,51;..;83,48
2022M08;75,22;..;..;73,51;77,91;..
2022M07;73,38;..;..;69,80;78,51;80,85
2022M06;73,17;..;..;68,74;..;..
2022M05;71,73;..;..;68,71;74,80;76,37
2022M04;68,55;..;..;67,73;..;71,59
2022M03;72,10;..;..;68,79;82,52;..
2022M02;70,52;..;..;68,24;..;81,55
2022M01;66,64;..;..;61,16;66,26;74,05
2021M12;66,53;..;..;59,23;71,60;75,18
2021M11;76,07;..;..;68,24;70,72;..
2021M10;71,39;64,70;..;67,45;69,12;..
2021M09;75,99;..;..;74,39;91,34;86,53
2021M08;72,30;..;..;69,82;..;84,43
2021M07;74,24;..;..;69,39;92,51;86,74
2021M06;68,69;..;..;59,32;77,15;79,94
2021M05;66,01;..;..;59,86;..;75,38
2021M04;56,49;..;..;55,67;61,77;..
2021M03;53,10;..;..;54,22;..;..
2021M02;51,06;..;..;52,00;..;..
2021M01;48,22;..;..;51,30;..;..
2020M12;45,21;..;..;46,66;..;..
2020M11;49,66;..;..;48,87;..;..
2020M10;47,01;..;..;50,50;..;..
2020M09;59,21;..;..;60,02;54,45;65,71
2020M08;61,26;..;..;56,99;58,36;66,65
2020M07;64,44;..;..;56,41;..;80,22
2020M03;62,17;..;..;56,41;..;80,22
2020M02;70,06;..;..;56,13;..;..
2020M01;64,39;..;..;60,85;63,08;69,83
2019M12;62,33;..;..;57,73;69,06;72,20
2019M11;66,24;61,04;..;61,71;65,47;73,04
2019M10;65,57;57,34;..;61,81;76,64;69,62
2019M08;68,90;59,39;..;68,75;66,84;66,45
2019M07;66,68;62,46;..;62,08;..;71,41
2019M06;63,00;55,84;..;60,41;62,52;63,43
2019M05;65,73;57,98;..;64,45;..;..
2019M04;65,44;60,24;..;65,17;63,65;72,53
2019M03;68,20;64,01;..;68,89;64,58;70,71
2019M02;64,23;58,18;..;62,20;..;69,23
2019M01;63,10;56,98;..;58,07;58,31;..
2018M12;67,13;..;..;61,26;65,07;..
2018M11;67,13;..;..;61,26;65,07;..
2018M10;63,33;57,70;..;63,18;..;71,77
2018M09;66,07;60,96;100,63;66,88;..;..
2018M08;66,21;..;97,89;67,05;66,13;71,04
2018M07;127,50;125,36;..;120,94;143,66;142,04
2018M06;61,02;57,57;93,08;59,15;62,62;..
2018M05;63,15;56,93;..;63,90;62,30;..
2018M04;63,72;58,30;..;65,88;61,17;72,05
2018M03;64,00;61,58;..;64,61;62,57;70,00
2018M02;65,77;60,60;102,03;65,10;63,07;78,39
2018M01;59,66;55,39;89,19;55,87;61,05;..
2017M12;60,41;56,43;92,30;53,99;71,41;..
2017M11;65,41;62,94;89,85;61,09;58,47;74,19
2017M10;62,02;..;95,57;60,81;62,96;70,64
2017M09;64,68;62,19;93,67;63,75;66,71;71,92
2017M08;63,97;..;89,23;65,44;64,59;70,79
2017M07;63,67;..;83,48;59,64;67,60;73,54
2017M06;59,01;56,45;82,11;57,40;60,94;67,32
2017M05;62,01;54,57;..;60,11;59,67;70,29
2017M04;61,21;57,15;95,70;60,21;62,13;68,30
2017M03;66,14;58,87;89,24;63,43;67,41;72,08
2017M02;59,57;58,68;..;56,90;59,48;66,69
2017M01;59,11;56,77;92,59;55,57;55,07;..
2016M12;62,18;52,98;91,03;53,93;..;..
2016M11;61,82;61,02;96,81;56,98;60,06;72,19
2016M10;59,46;51,03;91,73;56,02;57,35;62,67
2016M09;63,62;61,09;87,30;62,80;61,77;69,71
2016M08;63,05;61,59;89,90;62,07;65,56;70,39
2016M07;61,74;61,15;81,45;55,93;..;70,41
2016M06;59,96;55,95;71,73;53,01;..;69,66
2016M05;59,89;57,18;78,60;55,19;..;67,14
2016M04;62,53;57,12;82,27;61,16;..;66,00
2016M03;61,65;55,88;82,96;58,48;64,81;65,21
2016M02;64,19;60,19;77,76;60,89;70,57;71,14
2016M01;58,56;53,75;92,55;53,38;57,97;..
;56,87;49,02;98,17;51,87;..;..