fecha;LA RIOJA;Calahorra;Ezcaray;Logroño;Haro;Santo Domingo de la Calzada
1/9/24;85,83;77,78;;87,81;91,5;93,46
1/8/24;79,98;78,52;;77,41;83,95;91,82
1/7/24;76,99;76,14;;75,08;79,63;
1/6/24;77,84;79,72;;81,11;80,01;
1/5/24;78,62;73,46;;80,35;76,29;87,76
1/4/24;74,3;72,41;;74,9;76,15;
1/3/24;78,31;77,1;;79,66;80,08;94,51
1/2/24;69,37;;;68,26;72,35;
1/1/24;64,81;70,31;;63,09;81,52;
1/12/23;74,63;73,36;;73,95;;
1/11/23;73,7;71,56;;74,83;;
1/10/23;82,77;76,54;;83,75;85,69;
1/9/23;87,2;75,53;;86,17;81,23;
1/8/23;77,48;81,83;;74,72;88,4;
1/7/23;78,16;77,55;;75,74;79,76;
1/6/23;77,77;75,67;;73,47;76,93;
1/5/23;80,53;72,58;;75,85;74,73;
1/4/23;76,77;73,4;;75,58;78,85;
1/3/23;66,09;;;66,68;70,08;
1/2/23;64,47;;;62,43;61,93;
1/1/23;62,12;;;59,39;;
1/12/22;75,49;;;67,53;;89,27
1/11/22;70,78;;;67,45;71,2;
1/10/22;77,75;;;75,51;;83,48
1/9/22;75,22;;;73,51;77,91;
1/8/22;73,38;;;69,8;78,51;80,85
1/7/22;73,17;;;68,74;;
1/6/22;71,73;;;68,71;74,8;76,37
1/5/22;68,55;;;67,73;;71,59
1/4/22;72,1;;;68,79;82,52;
1/3/22;70,52;;;68,24;;81,55
1/2/22;66,64;;;61,16;66,26;74,05
1/1/22;66,53;;;59,23;71,6;75,18
1/12/21;76,07;;;68,24;70,72;
1/11/21;71,39;64,7;;67,45;69,12;
1/10/21;75,99;;;74,39;91,34;86,53
1/9/21;72,3;;;69,82;;84,43
1/8/21;74,24;;;69,39;92,51;86,74
1/7/21;68,69;;;59,32;77,15;79,94
1/6/21;66,01;;;59,86;;75,38
1/5/21;56,49;;;55,67;61,77;
1/4/21;53,1;;;54,22;;
1/3/21;51,06;;;52;;
1/2/21;48,22;;;51,3;;
1/1/21;45,21;;;46,66;;
1/12/20;49,66;;;48,87;;
1/11/20;47,01;;;50,5;;
1/10/20;59,21;;;60,02;54,45;65,71
1/9/20;61,26;;;56,99;58,36;66,65
1/8/20;64,44;;;56,41;;80,22
1/7/20;62,17;;;56,41;;80,22
1/3/20;70,06;;;56,13;;
1/2/20;64,39;;;60,85;63,08;69,83
1/1/20;62,33;;;57,73;69,06;72,2
1/12/19;66,24;61,04;;61,71;65,47;73,04
1/11/19;65,57;57,34;;61,81;76,64;69,62
1/10/19;68,9;59,39;;68,75;66,84;66,45
1/8/19;66,68;62,46;;62,08;;71,41
1/7/19;63;55,84;;60,41;62,52;63,43
1/6/19;65,73;57,98;;64,45;;
1/5/19;65,44;60,24;;65,17;63,65;72,53
1/4/19;68,2;64,01;;68,89;64,58;70,71
1/3/19;64,23;58,18;;62,2;;69,23
1/2/19;63,1;56,98;;58,07;58,31;
1/1/19;67,13;;;61,26;65,07;
1/12/18;67,13;;;61,26;65,07;
1/11/18;63,33;57,7;;63,18;;71,77
1/10/18;66,07;60,96;100,63;66,88;;
1/9/18;66,21;;97,89;67,05;66,13;71,04
1/8/18;127,5;125,36;;120,94;143,66;142,04
1/7/18;61,02;57,57;93,08;59,15;62,62;
1/6/18;63,15;56,93;;63,9;62,3;
1/5/18;63,72;58,3;;65,88;61,17;72,05
1/4/18;64;61,58;;64,61;62,57;70
1/3/18;65,77;60,6;102,03;65,1;63,07;78,39
1/2/18;59,66;55,39;89,19;55,87;61,05;
1/1/18;60,41;56,43;92,3;53,99;71,41;
1/12/17;65,41;62,94;89,85;61,09;58,47;74,19
1/11/17;62,02;;95,57;60,81;62,96;70,64
1/10/17;64,68;62,19;93,67;63,75;66,71;71,92
1/9/17;63,97;;89,23;65,44;64,59;70,79
1/8/17;63,67;;83,48;59,64;67,6;73,54
1/7/17;59,01;56,45;82,11;57,4;60,94;67,32
1/6/17;62,01;54,57;;60,11;59,67;70,29
1/5/17;61,21;57,15;95,7;60,21;62,13;68,3
1/4/17;66,14;58,87;89,24;63,43;67,41;72,08
1/3/17;59,57;58,68;;56,9;59,48;66,69
1/2/17;59,11;56,77;92,59;55,57;55,07;
1/1/17;62,18;52,98;91,03;53,93;;
1/12/16;61,82;61,02;96,81;56,98;60,06;72,19
1/11/16;59,46;51,03;91,73;56,02;57,35;62,67
1/10/16;63,62;61,09;87,3;62,8;61,77;69,71
1/9/16;63,05;61,59;89,9;62,07;65,56;70,39
1/8/16;61,74;61,15;81,45;55,93;;70,41
1/7/16;59,96;55,95;71,73;53,01;;69,66
1/6/16;59,89;57,18;78,6;55,19;;67,14
1/5/16;62,53;57,12;82,27;61,16;;66
1/4/16;61,65;55,88;82,96;58,48;64,81;65,21
1/3/16;64,19;60,19;77,76;60,89;70,57;71,14
1/2/16;58,56;53,75;92,55;53,38;57,97;
1/1/16;56,87;49,02;98,17;51,87;;