Mes;TOTAL;Gasto paquete turistico;Gasto alojamiento;Gasto transporte;Gasto bares y restaurantes;Gasto actividades;Gasto bienes duraderos;Otos gastos
2024T02;68756672,84;1229960,94;14640820,20;15279278,94;22530500,30;4299253,39;;10776859,07
2024T01;65456922,38;2644052,77;12113990,67;14235933,26;21677886,34;3385533,85;;11399525,49
2023T04;71022761,33;4143074,74;13831556,22;15269356,14;20855355,35;1778821,76;1323803,50;13820793,63
2023T03;116150745,39;109241,55;25945800,35;21382998,63;37824072,20;4503234,83;2554651,26;23830746,56
2023T02;73819986,82;1174022,98;15085370,87;16547695,71;27421009,15;2102249,64;;11489638,47
2023T01;43995481,43;1515957,35;10300786,27;9394276,21;12882354,09;1296587,16;;8605520,36
2022T04;75697784,42;990528,92;18414715,77;15930410,62;22809198,58;2768568,66;3164784,65;11619577,22
2022T03;119327275,06;18285283,39;14921464,06;20784094,14;32991124,28;9292959,54;397883,64;22654465,99
2022T02;60405129,18;3024822,58;12190963,29;11880771,01;18037682,16;2148694,22;156628,33;12965567,59
2022T01;36199612,71;763333,25;6107882,21;7899882,70;10336786,92;1983796,97;1842813,66;7265117,00
2021T04;50671598,38;1727802,18;10189017,49;10416788,80;14328912,61;1466945,23;1304893,34;11237238,75
2021T03;107642482,38;814241,94;23246238,04;16284012,98;32967022,29;4956175,67;2356496,52;27018294,94
2021T02;32609845,34;230411,52;6473701,19;7970155,92;8941298,12;441465,83;;8552812,76
2021T01;7177677,29;;2174847,25;1986024,40;1549748,40;;;1467057,24
2020T04;13418111,37;;2241855,03;3557979,73;3558932,89;257182,46;;3802161,25
2020T03;75633333,96;2243496,39;18182485,30;11871500,28;19173800,69;1739814,13;;22422237,19
2020T02;6698045,26;;938285,29;1734867,60;1818263,68;10638,52;511665,79;1684324,38
2020T01;27645341,28;1445226,15;6458767,20;6633485,19;6962700,68;1793957,54;;4351204,52
2019T04;44531227,68;2813072,52;9882140,02;8606041,76;13115593,56;1545464,79;;8568915,03
2019T03;87756351,79;1692729,01;17279255,27;16483078,16;26112107,09;1868464,56;5085213,34;19235504,36
2019T02;63902042,88;3860423,89;12768695,00;13562816,18;20530331,25;3462799,64;;9716976,93
2019T01;40380222,05;1276977,34;7099297,18;9761487,44;12855882,13;2053454,77;596243,84;6736879,36
2018T04;51983551,54;1965719,71;13063116,88;10429507,67;15354726,79;1940382,84;;9230097,65
2018T03;73159103,89;1088326,66;14728569,71;14223827,18;24684990,84;2356764,00;85225,75;15991399,75
2018T02;57643492,61;9896750,15;8689169,99;10471527,82;17436408,76;3260276,47;;7889359,41
2018T01;37653489,31;796052,33;9798937,82;8073247,67;11052627,24;2307162,01;981728,81;4643733,44
2017T04;49487676,60;1072128,35;10173784,00;11995818,83;14204780,26;3421847,03;;8619318,13
2017T03;71206966,58;3080526,19;10660560,45;13941384,35;21941466,55;1691276,21;81633,92;19810118,91
2017T02;58738723,47;2092631,74;13619852,73;12709424,57;17272546,16;3237352,59;;9806915,68
2017T01;35126020,15;1217903,44;9319414,88;6852969,66;9957812,06;2242474,55;;5535445,57
2016T04;38835533,27;2431225,77;6770175,35;7611737,72;11381154,65;1270351,93;190023,50;9180864,35
2016T03;56419319,51;2345145,21;8349583,88;9084724,27;16950934,68;1634462,90;50172,55;18004296,02
2016T02;39203316,46;1773437,48;6446023,87;8658384,06;11341358,23;1525459,30;;9458653,52
2016T01;42656568,84;727440,60;7934168,31;9002585,24;13736729,34;2020740,27;452857,89;8782047,18